AGSB_CODINST;AGSB_NOMBREINSTITUCION;CODIGOMUNICIPIO;NOMBREMUNICIPIO;DEPARTAMENTO;CALENDARIO;NATURALEZA;JORNADA;EVALUADOS;PROMMATEMATICA;PROMINGLES;PROMLECTURACRITICA;PROMSOCIALESYCIUDADANAS;PROMCIENCIASNATURALES;PROMRAZONAMIENTOCUANTITA;PROMCOMPETENCIASCIUDADAN;DESVMATEMATICA;DESVINGLES;DESVLECTURACRITICA;DESVSOCIALESYCIUDADANAS;DESVCIENCIASNATURALES;DESVRAZONAMIENTOCUANTITA;DESVCOMPETENCIASCIUDADA;PERIODO
148551;IE HATOVIEJO - SEDE PRINCIPAL;00284;SAN MIGUEL DE SEMA;BOYACA;A;OFICIAL;COMPLETA U ORDINARIA;11;44,64;49;44,36;47,27;44;46;48,82;11,53;5,27;10,26;10,47;8,27;13,88;9,63;20142
003913;INSTITUCION EDUCATIVA JUAN XXIII;00133;MALAMBO;ATLANTICO;A;OFICIAL;MAÑANA;84;45,5;47,67;46,06;44,37;45,51;45,6;44,45;7,94;5,19;7,66;8,06;6,73;7,85;8,1;20142
027466;GIMN LOS ANGELES;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;MAÑANA;57;52,61;53,79;53,6;54;51,74;52,25;53,75;9,78;8,57;8,55;9,6;9,69;10,35;9,2;20142
073361;CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN );00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;31;63,35;55,84;58,52;59,32;63,19;62,23;59,52;11,56;8,08;7,22;7,07;9,19;10,37;7,97;20142
080259;ESCUELA NORMAL SUPERIOR MIGUEL ANGEL ALVAREZ;00049;FRONTINO;ANTIOQUIA;A;OFICIAL;COMPLETA U ORDINARIA;54;50,13;48,28;51,43;52,24;48,44;50,24;53;7,62;7,14;6,41;9,22;9,11;8,7;9,52;20142
111864;GIMNASIO DEL DAGUA BORRERO AYERBE;01023;DAGUA;VALLE;A;OFICIAL;MAÑANA;69;47,38;45,72;48,38;48,97;48,35;48,36;48,62;8,6;6,08;7,69;9,28;9,13;9,27;9,45;20142
096271;COLEGIO DIST. DE BACHILLERATO SAN LUIS (ANT. C.E.B. # 123);00126;BARRANQUILLA;ATLANTICO;A;OFICIAL;TARDE;46;46,43;46,63;47,11;46,57;44,43;46,22;46,33;7,51;5,76;7,63;8,32;6,71;7,68;8,7;20142
042739;I.E.D. NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL;00662;ALGARROBO;MAGDALENA;A;OFICIAL;COMPLETA U ORDINARIA;46;44,41;43,07;44,85;45,93;42,87;45,72;45,59;8,06;7,03;7,08;6,62;6,82;8,93;7,2;20142
058479;COL NZADO ARMANDO LUNA ROA;00578;QUIBDO;CHOCO;A;OFICIAL;TARDE;19;42,53;45,11;41,11;41,84;40,58;42,21;42,37;6,57;3,96;6,85;7,47;6,09;7,26;7,29;20142
125401;GIMNASIO CASTILLO CAMPESTRE - SEDE PRINCIPAL;00558;TENJO;CUNDINAMARCA;A;NO OFICIAL;COMPLETA U ORDINARIA;46;56;59,57;56,46;55,3;56,28;55,87;54,93;7,34;11,61;9,15;9,62;7,27;7,01;10,01;20142
035352;I.E. JUAN LASSO DE LA VEGA - SEDE PRINCIPAL;01006;VALLE DE SAN JUAN;TOLIMA;A;OFICIAL;NOCHE;58;46,31;45,03;44,38;46;46,12;46,52;45,88;7,72;5,44;8,28;9,76;8,07;8,52;9,22;20142
173989;CENTRO EDUCATIVO PUSPUED;00757;MALLAMA (PIEDRANCHA);NARIÑO;O;NO OFICIAL;MAÑANA;13;40,69;44,54;40,08;45,31;41,23;41,08;43,69;6,97;5,35;7,49;5,66;9,36;7,02;4,37;20142
188664;I. E. SAN RAMON - SEDE PRINCIPAL;00409;AGUSTIN CODAZZI;CESAR;A;OFICIAL;TARDE;18;44,83;46,39;43,61;43,17;44,39;45,39;43,5;6,33;4,15;7,33;9,08;6,5;7,95;8,45;20142
133785;CENTRO DOCENTE LAS GUACAS;00374;CORINTO;CAUCA;A;OFICIAL;MAÑANA;12;45,33;45,83;43,17;44;45;46,17;43,5;7,78;4,84;8,73;12,44;11,59;10,56;11,97;20142
108530;COL.DPTAL. BTO. CARLOS VILARDY;00669;EL BANCO;MAGDALENA;A;OFICIAL;MAÑANA;6;39;44,5;40,67;38;41,67;34,67;37,33;6,75;4,89;6,02;5,66;6,25;8,29;4,23;20142
015834;SEDE 01 LA SAGRADA FAMILIA;00963;IBAGUE;TOLIMA;A;OFICIAL;MAÑANA;142;53,62;51,65;55,3;54,52;55,51;53,47;54,72;8,67;6,99;8,56;8,93;9,32;9,53;8,78;20142
112730;INSTITUCION EDUCATIVA DPTAL RURAL  RINCON SANTO;00472;CAJICA;CUNDINAMARCA;A;OFICIAL;MAÑANA;66;50,27;51,08;51,94;53,06;52,71;50,38;53,45;8,02;6,93;8,15;7,56;6,8;7,69;8,17;20142
038182;INST.  EDUCATIVA AGROPECUARIA;00659;URUMITA;LA GUAJIRA;A;OFICIAL;COMPLETA U ORDINARIA;54;50,7;49,98;48,52;49,91;51,67;51,5;50,39;8,42;7,03;7,88;9,62;6,71;9,59;9,84;20142
130195;C.E. LA ARBOLEDA;01021;CANDELARIA;VALLE;A;NO OFICIAL;COMPLETA U ORDINARIA;30;50,1;50,2;51,1;48;50;50,1;47,37;7,3;7,78;8,55;6,91;9,01;6,97;6,31;20142
180893;COL SAN RAFAEL;00165;EL CARMEN DE BOLIVAR;BOLIVAR;A;NO OFICIAL;MAÑANA;28;55,07;51,04;56,68;55,14;52,57;54,25;55,43;5,86;9,06;7,16;7,02;10,72;7,71;8,01;20142
166363;CENTRO EDUCATIVO BESITO BOLAO;00432;MONTERIA;CORDOBA;A;OFICIAL;MAÑANA;21;43,67;46,33;42,29;47,67;46,57;44,86;46,52;7,07;4,95;9,24;8,73;7,25;6,94;8,79;20142
171470;I.E. TERESA DE CALCUTA - SEDE PRINCIPAL;01059;YOPAL;CASANARE;A;OFICIAL;SABATINA - DOMINICAL;21;44,33;47,29;42,67;46,57;44,62;46,48;46,1;6,27;4,99;7,98;7,1;6,95;7,15;7,25;20142
081356;AGROTECNICO MIXTO;00351;BELEN DE LOS ANDAQUIES;CAQUETA;A;OFICIAL;SABATINA - DOMINICAL;22;39,05;42,91;37,41;39,23;40,73;39,91;39,23;5,47;3,32;11,86;5,37;5,69;7,33;5,29;20142
167478;EL PORTAL LA MONO;00351;BELEN DE LOS ANDAQUIES;CAQUETA;A;OFICIAL;MAÑANA;5;49,4;46,2;45,2;47,6;51,4;50,2;47;8,2;2,49;12,13;10,92;7,86;8,76;9,59;20142
031989;LICEO DE ALEJANDRIA;00004;ALEJANDRIA;ANTIOQUIA;A;OFICIAL;COMPLETA U ORDINARIA;20;52,1;48,4;53;52,3;51,4;52,05;52,2;8,63;4,6;9,38;8,47;7,85;8,17;9,12;20142
106765;INST EDU INST MISTRATO;00845;MISTRATO;RISARALDA;A;OFICIAL;NOCHE;31;41,55;43,97;41,65;44,06;43,58;44,23;44,23;7,88;5,46;7,73;8,37;6,52;9,22;8,7;20142
014563;INSTITUTO TECNICO SUPERIOR DE COMERCIO;00856;BARRANCABERMEJA;SANTANDER;A;OFICIAL;MAÑANA;154;50,47;48,47;51,75;51,15;49,58;50,03;50,36;7,35;5,85;7,82;8,64;8,25;8,29;8,38;20142
011817;INSTITUCION EDUCATIVA NACIONAL SIMON BOLIVAR;00770;SAMANIEGO;NARIÑO;A;OFICIAL;MAÑANA;131;52,35;48,85;51,7;53,53;54,02;51,6;53,17;10,14;7,57;8,46;8,06;9,39;9,83;7,97;20142
002006;COLEGIO EL ROSARIO;00059;ITAGUI;ANTIOQUIA;A;NO OFICIAL;MAÑANA;31;55,06;54,26;54,13;52,48;53,45;55;53,77;8,17;12,36;7,32;7,78;7,54;8,54;8,34;20142
127241;COLEGIO SANTA ISABEL;00840;DOS QUEBRADAS;RISARALDA;A;OFICIAL;MAÑANA;110;51,09;49,38;53,53;50,95;51,69;51,02;51,36;8,16;7,14;7,2;7,74;8,91;8,98;8,04;20142
059535;CENT EDUC DIST PALERMO CEDIP;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;TARDE;87;54,11;52,61;55,18;55,47;55,48;53,32;55,52;8,47;9,34;8,88;9,94;9,01;8,33;10,25;20142
140962;SEDE # 1 INST. TEC.  POPULAR DE LA COSTA;00781;TUMACO;NARIÑO;A;OFICIAL;SABATINA - DOMINICAL;122;38,8;43,02;38,3;38,99;38,58;39,71;38,89;7,18;6,12;7,83;7,26;8;8,82;7,28;20142
151332;IE LOS LIBERTADORES - SEDE PRINCIPAL;00295;SOCHA;BOYACA;A;OFICIAL;COMPLETA U ORDINARIA;5;46,2;42,8;43,6;44;42;47,4;44;11,48;6,61;6,88;9;7,58;6,69;9,51;20142
012856;COL SAN FRANCISCO SOLANO;00826;CALARCA;QUINDIO;A;NO OFICIAL;COMPLETA U ORDINARIA;52;57,27;62,12;57,94;56,92;59,27;56,06;56,63;9,2;13,51;6,4;8,62;9,14;8,58;8,58;20142
063180;COL EL GRAN BRITALIA;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;18;48,61;48,61;49,28;48,44;48,17;49,28;48,33;6,15;7,88;8,6;9,49;10,56;4,93;8,9;20142
113084;LIC MARANATA;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;32;54,13;51,09;52,34;52,44;54,41;54,34;52,38;8,64;7,74;8,66;9,1;9,05;8,16;9,61;20142
040436;I.E. COLEGIO NACIONALIZADO PABLO VI - SEDE PRINCIPAL;00225;CUBARA;BOYACA;A;OFICIAL;MAÑANA;46;51,15;46,04;49,13;49,2;50,52;51,5;49,28;7,88;5,87;8,95;9,33;10,08;8,28;9,79;20142
111500;LA MILAGROSA;01036;PALMIRA;VALLE;A;OFICIAL;MAÑANA;83;58,63;55,54;57,58;56,58;58,22;56,72;56,08;10,77;10,32;9,71;8,44;10,11;11,01;9,01;20142
131649;COLEGIO SAN FRANCISCO JAVIER;00661;SANTA MARTA;MAGDALENA;A;OFICIAL;TARDE;91;49,87;47,91;50,15;48,67;50,87;50,14;49;7,73;6;8,45;9,74;9,41;7,68;9,46;20142
045344;COL DIST U.B. MARCO FIDEL SUAREZ;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;TARDE;57;50,21;50,19;52,93;51,16;52,39;52,05;51,28;9,28;8,97;9,27;10,73;8,46;9,36;9,95;20142
121889;INSTITUCION EDUCATIVA JONH  F KENNEDY;00856;BARRANCABERMEJA;SANTANDER;A;OFICIAL;TARDE;112;49,88;48,11;51,19;50,61;48,44;50,63;50,43;8,37;7,58;7,73;8,37;8,33;8,63;8,21;20142
101717;GABO SECUNDARIA;01022;CARTAGO;VALLE;A;OFICIAL;MAÑANA;158;58,1;56,41;57,11;57,37;59,38;57,75;57,29;10,04;11,91;8,25;7,81;9,56;9,82;7,73;20142
010496;IED LAURA VICUNA;00661;SANTA MARTA;MAGDALENA;A;OFICIAL;MAÑANA;144;49,11;49,72;51,28;50,03;48,17;48,47;50,51;6,98;7,46;7,68;8,18;7,63;7,65;8,11;20142
077289;IED LAURA VICUNA;00661;SANTA MARTA;MAGDALENA;A;OFICIAL;TARDE;111;48,11;47,31;49,76;49,49;49,07;48,1;50,37;6,75;5,88;7,37;7,34;8,27;7,1;8,07;20142
095729;COL DPTAL SANTA TERESA DE JESUS;00669;EL BANCO;MAGDALENA;A;OFICIAL;NOCHE;17;41,88;45,59;42,88;40,71;38,35;40,47;39,94;7,01;5,23;8,43;10,3;6,94;8,05;11,45;20142
006502;INSTITUTO OFICIAL MARMATO;00332;MARMATO;CALDAS;A;OFICIAL;COMPLETA U ORDINARIA;30;45,8;46,1;46,73;46,77;46,9;46,2;46,87;9,11;3,84;8,89;6,26;8,96;9,08;7,5;20142
008425;COLEGIO  DEPARTAMENTAL  EL TEQUENDAMA;00484;EL COLEGIO;CUNDINAMARCA;A;OFICIAL;MAÑANA;119;51,97;48,94;51,87;53,82;53,39;51,61;54,02;8,57;6,51;7,96;9,5;8,62;9,16;9,7;20142
010017;SIMON BOLIVAR;00619;GARZON;HUILA;A;OFICIAL;TARDE;56;51,8;52,25;51;51,25;49,88;49,96;51,18;8,74;9,91;8,95;9,88;9,18;8,99;10,43;20142
002014;COLEGIO LA INMACULADA;00059;ITAGUI;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;33;58,82;63,48;64,82;60,15;59,18;56,03;62,18;9,33;13,36;10,86;11,14;10,2;9,06;13,88;20142
126821;SEDE LA SANJUANA;00788;BUCARASICA;NORTE SANTANDER;A;OFICIAL;COMPLETA U ORDINARIA;19;47,58;48,32;46;45,16;47,68;47,68;44,84;7,96;5,26;7,82;9,66;6,73;10,18;11,19;20142
073064;INST GUIMARC;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;41;51,51;51,76;53,68;50,66;49,9;51,12;50,93;7,12;8,66;8,37;7,05;7,31;7,82;7,69;20142
106617;I.E. SAN JOSÉ - SDE PRINCIPAL;00963;IBAGUE;TOLIMA;A;OFICIAL;MAÑANA;53;49,42;48,17;50,42;50,08;50,23;50,79;51,89;7,09;6,43;7,98;7,37;7,6;6,67;8,16;20142
135699;COLEGIO CENTRO PEDAGOGICO LA CANDELARIA - SEDE PRINCIPAL;00910;PIEDECUESTA;SANTANDER;A;NO OFICIAL;MAÑANA;17;51,12;51,24;53,94;51,29;48,65;51,29;50,71;8,29;9,86;9,59;7,65;9,4;9,29;8,33;20142
173310;COL. BASICO LOS FUNDADORES;00660;VILLANUEVA;LA GUAJIRA;A;OFICIAL;MAÑANA;12;47,75;46,5;44,67;46,75;46,42;49,33;45,58;6,73;4,46;9,87;10,56;7,4;6,5;9,9;20142
084855;ATENEO AUTONOMO DE COLOMBIA - SEDE PRINCIPAL;00616;CAMPOALEGRE;HUILA;A;NO OFICIAL;SABATINA - DOMINICAL;177;43,45;44,93;43,15;42,62;42,86;44,92;42,54;6,62;5,93;7,1;8,16;6,9;7,52;8,3;20142
189720;I.E. TECNICA AGROPECUARIA ANTONIO NARIÑO DE PALUATO - SEDE PRINCIPAL;00130;GALAPA;ATLANTICO;A;OFICIAL;TARDE;3;36,33;49;43;39,67;45,33;34,67;38;3,51;1;7,55;8,96;4,04;3,51;9,64;20142
111401;88/04 INSTITUCION EDUCATIVA LA PAZ- SAAVEDRA GALINDO;01010;CALI;VALLE;A;OFICIAL;MAÑANA;8;47,63;49,5;53,38;48,88;52,75;47,63;50;6,05;5,5;7,67;11,68;9,42;5,83;11,65;20142
133488;POLITECNICO INTERAMERICANO - SEDE PRINCIPAL;00063;LA CEJA;ANTIOQUIA;A;NO OFICIAL;SABATINA - DOMINICAL;47;45,09;45,15;44,53;44,53;44,36;46,83;45,43;9,03;5,43;8,65;9,94;7,78;10,31;10,57;20142
129833;INSTITUTO REGIONAL COREDI;00060;ITUANGO;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;37;38,19;42,65;37,73;39,41;40,32;38,38;39,43;5,08;4,27;6,86;7,17;5,18;7,36;6,58;20142
123737;ALAIN VALENCIA;01016;BUENAVENTURA;VALLE;A;NO OFICIAL;MAÑANA;15;46,47;46,8;49,93;49,07;45,33;45,6;50,47;5,72;3,55;7,67;8,92;7,7;7,1;9,91;20142
124024;COLEGIO MAYOR NUESTRA SENORA DE LA ESPERANZA;00548;SOACHA;CUNDINAMARCA;A;NO OFICIAL;COMPLETA U ORDINARIA;28;50,46;48,25;52,61;53;50,04;51,43;53,75;6,23;6,93;8,92;10,19;11,46;6,75;10,55;20142
171041;GIMN LUCILA ZAPATA ARENAS;00436;CERETE;CORDOBA;A;NO OFICIAL;COMPLETA U ORDINARIA;7;54,86;58,29;58,86;55,86;56,86;51,71;57;6,62;15,91;8,97;10,78;9,23;6,73;14,07;20142
097949;I.E. PALMAS DE VINO - SEDE PRINCIPAL;00948;LOS PALMITOS;SUCRE;A;OFICIAL;MAÑANA;12;41,5;46,17;37,58;39,5;41,5;42;39,42;8,32;4,04;8,71;8,06;8,66;8,18;10,22;20142
127969;INSTITUCION EDUCATIVA DEPARTAMENTAL PUEBLO NUEVO;00522;NILO;CUNDINAMARCA;A;OFICIAL;MAÑANA;16;53,44;48,06;48,38;51,25;51,44;50,56;51;8,85;6,9;7,9;7,36;8,97;8,89;7,95;20142
098715;CENT EDUC DIST EL VIRREY ULTIMA ETAPA;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;TARDE;23;47,61;48,3;48,96;48,35;48,09;48,57;47,83;7,95;4,93;8,35;7,95;7,46;9,46;7,25;20142
032219;INST EDUCATIVA  DEPTAL TECNICO AGROPECUARIO MARTIN ROMERO;00496;GAMA;CUNDINAMARCA;A;OFICIAL;MAÑANA;23;50,91;48,83;51,22;52,65;48,96;51,52;52,35;8,2;4,94;8,3;9,34;9,46;8,6;9,15;20142
108332;INSTITUCION EDUCATIVA DEPARTAMENTAL MIXTO ANTONIO RICAURTE;00531;PUERTO SALGAR;CUNDINAMARCA;A;OFICIAL;MAÑANA;28;45,86;47,71;43,36;49,04;47,86;46,29;48,5;7,36;8,6;9,46;8,34;7,92;7,86;8,32;20142
044859;I.E.T. JORGE ELIECER GAITAN AYALA - SEDE PRINCIPAL;00987;LIBANO;TOLIMA;A;OFICIAL;TARDE;56;48,98;48,73;51,3;50,82;51,16;50,16;50,86;6,8;7,1;7,24;6,59;7,38;7,64;7,34;20142
165415;I.E.R. TESALIA - SEDE PRINCIPAL;01080;ORITO;PUTUMAYO;A;OFICIAL;MAÑANA;19;46,84;45,37;45,26;47,26;44,26;47,21;45,16;7,86;4,63;9,53;5,5;5,96;6,75;7,27;20142
028720;INSTITUCION EDUCATIVA CRISANTO LUQUE;00328;FILADELFIA;CALDAS;A;OFICIAL;COMPLETA U ORDINARIA;35;48,77;47,09;49,63;47,77;47,97;49,86;48,97;7,67;8,41;8,27;9,44;7,71;8,72;10,16;20142
087742;LA VICTORIA;00644;VILLAVIEJA;HUILA;A;OFICIAL;COMPLETA U ORDINARIA;9;47,11;45;45,78;47,11;47,44;44,22;47,33;7,39;4,36;10,51;10,87;6,58;8,61;10,31;20142
133926;GONZALO ARANGO (INST EDUC DIST);00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;MAÑANA;94;51,29;51,93;53,9;54,41;53,94;51,71;54,07;7,96;8,68;7,21;8,79;8,29;8,34;8,34;20142
075580;INST EDUC AMERICA;00001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MAÑANA;49;49,39;48,86;49,29;50,73;47,37;49,86;50,06;8,16;6,98;9,19;8,58;9,37;8,33;9,62;20142
141952;CENTRO EDUCATIVO DISTRITAL ONDAS DEL CARIBE;00661;SANTA MARTA;MAGDALENA;A;OFICIAL;TARDE;38;37,63;43,29;39,87;41,24;41;38,84;41,53;8,78;4,42;8,97;8,81;7,26;9,68;8,23;20142
066944;CENT EDUC DIST EL JAZMIN;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;TARDE;108;50,71;51,75;53,17;52;50,58;50,87;51,94;7,61;8,15;8,12;7,46;8,87;8,14;7,13;20142
054908;COLEGIO MANUEL FAUSTINO MOJICA;00672;FUNDACION;MAGDALENA;A;NO OFICIAL;MAÑANA;28;51,46;49;52,39;51,46;49,61;50,5;52,29;9,23;8,81;11,38;10,88;9,74;9,32;11,57;20142
095315;INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL DIEZ DE MAYO - SEDE PRINCIPAL;01010;CALI;VALLE;A;OFICIAL;MAÑANA;108;49,52;50,04;51,99;51,14;50,88;49,87;51,19;8,41;7,55;8,76;9,43;9,3;8,24;9,77;20142
095620;IE JORGE ELIECER GAITAN;00710;PUERTO GAITAN;META;A;OFICIAL;NOCHE;59;44,1;45,75;44,71;45,64;44,1;46,22;45,63;6,92;4,38;6,79;7,46;6,99;7,85;7,74;20142
049718;INSTITUTO TECNICO COMERCIAL JOSE EUGENIO MARTINEZ;00407;VALLEDUPAR;CESAR;A;OFICIAL;NOCHE;9;44;44,33;40,78;42;40,22;45,11;41,78;7,91;6,96;5,72;5,36;8,07;11,13;6,16;20142
022558;GIMN DEL CORAZON DE MARIA;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;41;58,46;57,93;59,44;58,2;58,37;55,51;59,02;7,16;10,18;6,23;7,21;6,91;7,5;7,16;20142
039073;COLEGIO ESTATAL JUAN BAUTISTA ARNAUD;00698;EL CALVARIO;META;A;OFICIAL;MAÑANA;15;53,53;50,2;49,67;48,4;56,87;54;49,73;7,14;5,8;4,43;6,87;7,61;7,84;7,99;20142
168567;CENT EDUC DIST FABIO LOZANO SIMONELLI;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;MAÑANA;82;48,37;48,04;48,74;48,32;48,7;49,83;48,82;6,39;6,11;7,98;7,27;7,42;6,8;7,53;20142
021717;COL NUEVA YORK E.U.;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;117;64,31;83,39;65,03;63,21;66,11;63,09;62,71;9,32;10,33;8,23;7,78;8,12;9,83;8,3;20142
148668;I.E. LA GRANJA - SEDE PRINCIPAL;00209;BUENAVISTA;BOYACA;A;OFICIAL;COMPLETA U ORDINARIA;18;48,22;43,44;44,22;41,94;45,61;49,28;41,78;6,52;3,87;7,73;5,73;7,27;8,19;7,86;20142
040477;I.E. HONORIO ANGEL Y OLARTE - SEDE PRINCIPAL;00262;PACHAVITA;BOYACA;A;OFICIAL;COMPLETA U ORDINARIA;10;50;49,2;49,4;54,3;54,9;48,7;53,8;10,45;4,1;8,25;11,91;9,04;11,28;12,74;20142
153221;I.E. AGUACHICA - SEDE PRINCIPAL;01053;ARAUQUITA;ARAUCA;A;OFICIAL;MAÑANA;27;46,04;44,52;45,74;47;45,3;45,93;45,85;6,66;6,87;9,25;8,56;7,8;7,63;9,64;20142
151977;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;00349;FLORENCIA;CAQUETA;A;NO OFICIAL;SABATINA - DOMINICAL;69;43,16;43,75;44,16;42,88;43,2;43,91;43,23;7,47;7,01;8,5;9,09;6,26;8,7;8,48;20142
088583;CENTRO DE EDUCACION LABORAL - SEDE PRINCIPAL;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;NOCHE;118;48,39;49,67;49,25;49,42;49,28;48,8;49,25;8,03;9,5;8,54;9,17;7,71;9;8,81;20142
092601;COL LEON DE GREIFF;00826;CALARCA;QUINDIO;A;NO OFICIAL;COMPLETA U ORDINARIA;13;53,62;55,08;54;51,77;54,85;54,92;52,62;9,49;12,64;11,68;9,51;11,8;9,78;9,57;20142
047621;MARIA AUXILIADORA;00618;ELIAS;HUILA;A;OFICIAL;COMPLETA U ORDINARIA;34;52,79;51,09;49,74;51,26;53,59;53,21;51,26;7,81;8,18;9,07;9,15;8,34;7,75;9,17;20142
111492;SAGRADA FAMILIA POTRERILLO;01036;PALMIRA;VALLE;A;OFICIAL;MAÑANA;43;50,44;48,63;49,56;48,65;48,12;50,02;48,63;7,4;6,28;7,11;9,57;7,52;7,85;8,55;20142
065680;I. E. DE JESUS;00040;CONCORDIA;ANTIOQUIA;A;OFICIAL;NOCHE;38;44,66;45,16;45,39;45;42,74;45,74;44,5;6,8;6,07;7,88;8,71;6,81;7,34;7,43;20142
125534;CENT EDUC DIST EL REMANSO;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;MAÑANA;124;52,47;50,5;53,62;52,4;52,48;52,85;52,9;7,47;6,34;7,38;7,37;6,83;8,09;7,68;20142
011106;I.E JOSE ANTONIO GALAN;00697;CUMARAL;META;A;OFICIAL;MAÑANA;108;52,82;50,59;53,71;53,07;52,96;52,62;52,65;9,79;8,77;9,17;9,9;8,86;10,13;9,02;20142
180513;INSTITUTO REINO UNIDO - SEDE PRINCIPAL;00784;CUCUTA;NORTE SANTANDER;A;NO OFICIAL;SABATINA - DOMINICAL;36;45,97;45,36;44,75;43,61;44,42;46,56;44,25;7,49;4,99;7,1;8,98;7,36;8,43;8,3;20142
